ID_Partido;Liga;Temporada;Fecha;Hora;Jornada;Equipo Local;Goles Equipo Local;Equipo Visitante;Goles Equipo Visitante
354;Liga Santander;2017-2061;6/05/2018;9:15:00 a. m.;36;Atletico de Madrid;0;Espanyol;2
355;Liga Santander;2017-2062;6/05/2018;5:00:00 a. m.;36;Malaga;0;Alaves;3
356;Liga Santander;2017-2063;5/05/2018;1:45:00 p. m.;36;Villareal;1;Valencia;0
357;Liga Santander;2017-2064;5/05/2018;11:30:00 a. m.;36;Celta de Vigo;1;Deportivo la Coruña;1
358;Liga Santander;2017-2065;5/05/2018;9:15:00 a. m.;36;Athletic de Bilbao;2;Betis;0
359;Liga Santander;2017-2066;5/05/2018;6:00:00 a. m.;36;Girona;1;Eibar;4
360;Liga Santander;2017-2067;4/05/2018;2:00:00 p. m.;36;Sevilla;1;Real Sociedad;0
361;Liga Santander;2017-2068;13/05/2018;1:45:00 p. m.;37;Levante;5;Barcelona;4
362;Liga Santander;2017-2069;13/05/2018;9:15:00 a. m.;37;Espanyol;4;Malaga;1
363;Liga Santander;2017-2070;12/05/2018;1:45:00 p. m.;37;Real Madrid;6;Celta deVigo;9
364;Liga Santander;2017-2071;12/05/2018;11:30:00 a. m.;37;Alaves;3;Athletic de Bilbao;1
365;Liga Santander;2017-2072;12/05/2018;11:30:00 a. m.;37;Deportivo la Coruña;2;Villareal;4
366;Liga Santander;2017-2073;12/05/2018;11:30:00 a. m.;37;Eibar;1;Las Palmas;0
367;Liga Santander;2017-2074;12/05/2018;11:30:00 a. m.;37;Getafe;0;Atletico de Madrid;1
368;Liga Santander;2017-2075;12/05/2018;11:30:00 a. m.;37;Girona;0;Valencia;1
369;Liga Santander;2017-2076;12/05/2018;11:30:00 a. m.;37;Betis;2;Sevilla;2
370;Liga Santander;2017-2077;12/05/2018;9:15:00 a. m.;37;Real Sociedad;3;Leganes;2
371;Liga Santander;2017-2078;20/05/2018;1:45:00 p. m.;38;Barcelona;1;Real Sociedad;0
372;Liga Santander;2017-2079;20/05/2018;11:30:00 a. m.;38;Atletico de Madrid;2;Eibar;2
373;Liga Santander;2017-2080;20/05/2018;9:15:00 a. m.;38;Athletic de Bilbao;0;Espanyol;1
374;Liga Santander;2017-2081;20/05/2018;5:00:00 a. m.;38;Valencia;2;Deportivo la Coruña;1
375;Liga Santander;2017-2082;19/05/2018;1:45:00 p. m.;38;Villareal;2;Real Madrid;2
376;Liga Santander;2017-2083;19/05/2018;11:30:00 a. m.;38;Las Palmas;1;Girona;2
377;Liga Santander;2017-2084;19/05/2018;11:30:00 a. m.;38;Malaga;0;Getafe;1
378;Liga Santander;2017-2085;19/05/2018;11:30:00 a. m.;38;Sevilla;1;Alaves;0
379;Liga Santander;2017-2086;19/05/2018;9:15:00 a. m.;38;Leganes;3;Betis;2
380;Liga Santander;2017-2087;19/05/2018;6:00:00 a. m.;38;Celta de Vigo;4;Levante;2
